"1";"anamnagar-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"2";"baneshwore-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"3";"chabahil-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"4";"balaju-cmts1.subisu.net.np";"incacmtsread";"arris";""
"5";"baluwatar-cmts1.subisu.net.np";"incacmtsread";"arris";""
"6";"baluwatar-cmts2.subisu.net.np";"incacmtsread";"arris";""
"7";"jorpati-cmts1.subisu.net.np";"incacmtsread";"arris";""
"8";"narayanthan-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"9";"ranibari-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"10";"gongabu-cmts1.subisu.net.np";"incacmtsread";"arris";""
"11";"gongabu-cmts2.subisu.net.np";"incacmtsread";"arris";""
"12";"pulchowk-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"13";"satdobato-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"14";"tinkune-cmts1.subisu.net.np";"incacmtsread";"casa";""
"15";"jarankhu-cmts1.subisu.net.np";"incacmtsread";"casa";""
"16";"soaltee-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"17";"switchatar-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"18";"dhapasi-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"19";"ekaltar-cmts1.subisu.net.np";"incacmtsread";"motorola";""
"20";"maharajgunj-cmts1.subisu.net.np";"incacmtsread";"cisco";""
"21";"thamel-cmts1.subisu.net.np";"incacmtsread";"arris";""
